31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
E/IJankManager(31530): slideSceneEnd unknown scene 1003 mScene:-1
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
I/PowerHalMgrImpl(31530): hdl:96238, pid:31530
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
D/FlutterCompass(31530): Compass sensor is unreliable, device calibration is needed.
I/PowerHalMgrImpl(31530): hdl:96240, pid:31530
